Last Updated (UTC),Ticker,Name,Price,Currency,Last Dividend,Last Dividend Date,Frequency,Yield (Forward) %,Remarks,Median Annualized Yield %,Mean Annualized Yield %,Std Dev %,Valuation
2025-08-09T04:23:47.770523Z,SMCY,Tidal Trust II YieldMax SMCI Op,16.6,USD,1.852,2025-07-31,Monthly,133.88,yfinance,149.3213,157.2238,51.39329661800262,Fair Price
2025-08-09T04:23:29.701029Z,CONY,Tidal ETF Trust II YieldMax COI,7.26,USD,0.795,2025-07-24,Monthly,131.405,yfinance,260.0457,263.12665217391304,152.6380373347646,Fair Price
2025-08-09T04:23:39.179135Z,MRNY,Tidal Trust II YieldMax MRNA Op,1.99,USD,0.2,2025-07-17,Monthly,120.603,yfinance,109.6681,117.57838095238095,64.70310924760585,Fair Price
2025-08-09T04:23:24.554779Z,AMDY,Tidal Trust II Yieldmax AMD Opt,8.81,USD,0.566,2025-07-24,Monthly,77.094,yfinance,79.31285,109.02632272727271,54.62022451769807,Fair Price
2025-08-09T04:23:40.549412Z,MSTY,Tidal Trust II YieldMax MSTR Op,19.15,USD,1.184,2025-07-31,Monthly,74.193,yfinance,229.7856,237.35080588235292,130.61735903251662,Overpriced
2025-08-09T04:23:52.574422Z,TSMY,Tidal Trust II YieldMax TSM Opt,15.71,USD,0.954,2025-08-07,Monthly,72.871,yfinance,60.242,61.718075,13.376809428880676,Fair Price
2025-08-09T04:23:42.440234Z,NVDY,Tidal ETF Trust II YieldMax NVD,17.88,USD,1.029,2025-07-17,Monthly,69.06,yfinance,133.0851,139.3532962962963,69.48496860011956,Fair Price
2025-08-09T04:23:28.483743Z,BITO,ProShares Bitcoin ETF,21.09,USD,1.209,2025-08-01,Monthly,68.791,yfinance,70.7707,76.17788064516128,46.34706758355138,Fair Price
2025-08-09T04:23:58.071550Z,YBIT,Tidal Trust II YieldMax Bitcoin,10.43,USD,0.542,2025-08-07,Monthly,62.359,yfinance,108.205,109.5953625,50.40724765298305,Fair Price
2025-08-09T04:23:23.954550Z,AIYY,Tidal Trust II YieldMax AI Opti,3.53,USD,0.181,2025-07-31,Monthly,61.53,yfinance,97.665,123.672045,57.540484359499125,Fair Price
